Minutes,Velocity
0.0,1807.0
0.0008333333333333334,1749.0
0.0016666666666666668,1694.0
0.0025,1618.0
0.0033333333333333335,1516.0
0.004166666666666667,1394.0
0.005,1282.0
0.005833333333333334,1198.0
0.006666666666666667,1077.0
0.0075,957.0
0.008333333333333333,856.0
0.009166666666666667,745.0
0.01,639.0
0.010833333333333334,588.0
0.011666666666666667,533.0
0.0125,500.0
0.013333333333333334,486.0
0.014166666666666666,494.0
0.015,558.0
0.015833333333333335,587.0
0.016666666666666666,699.0
0.0175,827.0
0.018333333333333333,925.0
0.019166666666666665,1105.0
0.02,1286.0
0.020833333333333332,1464.0
0.021666666666666667,1661.0
0.0225,1871.0
0.023333333333333334,2070.0
0.024166666666666666,2242.0
0.025,2407.0
0.025833333333333333,2572.0
0.02666666666666667,2753.0
0.0275,2910.0
0.028333333333333332,3058.0
0.029166666666666667,3212.0
0.03,3345.0
0.030833333333333334,3463.0
0.03166666666666667,3568.0
0.0325,3668.0
0.03333333333333333,3757.0
0.034166666666666665,3869.0
0.035,3955.0
0.035833333333333335,3994.0
0.03666666666666667,4041.0
0.0375,4048.0
0.03833333333333333,4063.0
0.03916666666666667,4074.0
0.04,4069.0
0.04083333333333333,4073.0
0.041666666666666664,4054.0
0.0425,4037.0
0.043333333333333335,3989.0
0.04416666666666667,3949.0
0.045,3920.0
0.04583333333333333,3860.0
0.04666666666666667,3805.0
0.0475,3720.0
0.04833333333333333,3618.0
0.049166666666666664,3547.0
0.05,3464.0
0.050833333333333335,3368.0
0.051666666666666666,3274.0
0.0525,3182.0
0.05333333333333334,3093.0
0.05416666666666667,2995.0
0.055,2914.0
0.05583333333333333,2844.0
0.056666666666666664,2752.0
0.0575,2662.0
0.058333333333333334,2570.0
0.059166666666666666,2447.0
0.06,2327.0
0.060833333333333336,2198.0
0.06166666666666667,2057.0
0.0625,1920.0
0.06333333333333334,1765.0
0.06416666666666666,1600.0
0.065,1393.0
0.06583333333333333,1168.0
0.06666666666666667,963.0
0.0675,698.0
0.06833333333333333,474.0
0.06916666666666667,272.0
0.07,69.0
0.07083333333333333,-53.0
0.07166666666666667,-211.0
0.0725,-325.0
0.07333333333333333,-404.0
0.07416666666666667,-493.0
0.075,-529.0
0.07583333333333334,-580.0
0.07666666666666666,-620.0
0.0775,-650.0
0.07833333333333334,-663.0
0.07916666666666666,-635.0
